ob_id,competency_code,competency_domain,ob_code,icao_observable_behaviour,adapted_observable_behaviour,learning_level,task_types,suitable_programs,interim_standard,final_standard,conditions,priority,status
OB-001,C1,Application of Procedures,1.1,Identifies correct processes and procedures associated with a specific task,Selects the correct maintenance procedure for a practical task,L2;L3,R/I;TS;FOT,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-002,C1,Application of Procedures,1.2,Demonstrates proper use of documents,Uses maintenance manuals and documents correctly during tasks,L2;L3,LOC;R/I;TS;FOT,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-003,C1,Application of Procedures,1.3,Applies system knowledge appropriately,Applies learned system theory while performing practical tasks,L2;L3,TS;FOT;R/I,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-004,C1,Application of Procedures,1.5,Documents work performed or accomplished correctly,Completes task worksheets and records work correctly,L2,LOC;SGH;R/I,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-005,C2,Work Management,2.1,"Plans, prioritizes and schedules tasks effectively",Organizes task steps logically before starting work,L3,R/I;TS,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-006,C2,Work Management,2.3,Requests assistance when and where required,Asks the instructor for help when unsure,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-007,C2,Work Management,2.4,"Selects appropriate tools, equipment and resources to support efficient achievement of tasks",Selects correct tools and equipment for the task,L2;L3,R/I;LOC;SGH,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-008,C2,Work Management,2.5,"Uses available tools safely, efficiently and effectively",Uses tools safely and correctly in the workshop,L3,R/I;SGH,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-009,C2,Work Management,2.6,Inspects work area after completion of task,Cleans and inspects work area after completing tasks,L2,SGH;R/I,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-010,C2,Work Management,2.8,Offers and accepts assistance when necessary and asks for help,Accepts and offers help to classmates when needed,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-011,C2,Work Management,2.9,Verifies that tasks are completed to relevant procedures,Checks completed work against maintenance procedures,L3,R/I;FOT,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-012,C3,Situational Awareness,3.1,Maintains awareness of the maintenance environment,Remains aware of workshop environment and surroundings,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-013,C3,Situational Awareness,3.2,Maintains awareness of hazard situations,Identifies unsafe or hazardous situations in the workshop,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-014,C3,Situational Awareness,3.4,Verifies that information is accurate and assumptions are correct,Double-checks information before performing a task,L3,R/I;TS,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-015,C3,Situational Awareness,3.6,Assesses situations and reports deviations,Reports mistakes or unusual situations to the instructor,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-016,C4,Technical Expertise,4.1,Applies technical knowledge and skills as appropriate for the task,Applies technical knowledge when performing practical tasks,L3,TS;R/I;FOT,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-017,C4,Technical Expertise,4.2,Answers technical questions accurately,Answers instructor technical questions correctly,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-018,C4,Technical Expertise,4.4,Applies appropriate procedures following applicable standards,Performs tasks following standard maintenance procedures,L3,R/I;SGH;LOC,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-019,C5,System Thinking,5.4,Recognizes the essential components of a functional safety management system and their interoperability,Recognizes that maintenance activities are part of a wider safety system,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-020,C5,System Thinking,5.8,Provides feedback on potential deficiencies of the regulatory framework,Provides feedback when procedures or instructions are unclear,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-021,C6,Coordination and Handover,6.3,Reports safety-critical information,Reports safety-related issues to the instructor immediately,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-022,C6,Coordination and Handover,6.4,Coordinates handover using prescribed coordination procedures,Participates in proper handover of tasks between classmates,L2,SGH;LOC,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-023,C6,Coordination and Handover,6.6,Uses clear and concise terminology for verbal coordination and confirms message reception,Communicates clearly with instructors and classmates during tasks,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-024,C7,Risk Management,7.1,Carries out comprehensive risk assessments using appropriate methodologies,Participates in basic risk assessment discussions before tasks,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-025,C7,Risk Management,7.2,Makes decisions based on risk assessment outcome,Chooses safe options when guided by the instructor,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-026,C7,Risk Management,7.3,Identifies accurately problem areas or hazards that may negatively impact safety,Identifies hazards and reports them to the instructor,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-027,C8,Teamwork,8.1,Fosters an atmosphere of open communication,Communicates openly with classmates during group tasks,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-028,C8,Teamwork,8.5,Shows respect and tolerance for other people,Shows respect for classmates and instructors,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-029,C8,Teamwork,8.6,Carries out duties in support of a team,Supports classmates during group practical tasks,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-030,C8,Teamwork,8.7,Uses negotiating and problem-solving techniques to manage unavoidable conflict,Helps resolve minor disagreements during group work,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-031,C8,Teamwork,8.9,Accepts feedback constructively,Accepts instructor feedback positively,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-032,C8,Teamwork,8.12,Anticipates and responds appropriately to the needs of others,Assists classmates who need help during tasks,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-033,C8,Teamwork,8.13,Demonstrates integrity and honesty,Demonstrates honesty when reporting task results,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-034,C9,Problem Solving and Decision Making,9.1,Determines possible solutions to an identified problem,Suggests possible causes of faults when guided,L3,TS,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-035,C9,Problem Solving and Decision Making,9.3,Manages risks effectively,Recognizes when a task involves safety risk and reports it,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-036,C9,Problem Solving and Decision Making,9.5,Implements a chosen solution to a problem,Implements solutions only under instructor supervision,L3,TS;R/I,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-037,C9,Problem Solving and Decision Making,9.8,Raises relevant concerns in an appropriate manner and good judgement,Raises concerns appropriately during practical work,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-038,C9,Problem Solving and Decision Making,9.9,Shares experiences with the aim of continuous improvement,Shares lessons learned after completing tasks,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-039,C10,Leadership / Supervision,10.2,Supports and motivates team members to achieve objectives,Encourages classmates during group activities,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-040,C10,Leadership / Supervision,10.3,Demonstrates effective supervision practices,Demonstrates basic supervision awareness in group work,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-041,C10,Leadership / Supervision,10.5,Manages team performance effectively,Helps organize group tasks effectively,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-042,C11,Continuous Improvement / Safety Culture,11.2,Promotes continuous improvement within the organization,Participates in discussions to improve training activities,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-043,C11,Continuous Improvement / Safety Culture,11.3,Encourages reporting and learning from safety events,Encourages reporting of safety issues in class,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-044,C11,Continuous Improvement / Safety Culture,11.6,Demonstrates commitment to safety culture,Shows positive attitude toward safety culture,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
